,mt,ribo,hb,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
DVL1,False,False,False,567,0.03632116788321168,0.03567710340413885,96.68905109489052,622.0,6.4345465,567,False,0.043823901199615996,1.1711877426175803,0.89893126,0,False
MXRA8,False,False,False,61,0.003737226277372263,0.0037302601977308903,99.64379562043796,64.0,4.1743875,61,False,0.003922612414669514,0.19287068699901116,-0.72243977,0,False
AURKAIP1,False,False,False,6047,0.6992700729927007,0.5301987900291578,64.68905109489052,11975.0,9.39066,6047,False,0.3640877025000945,0.4266635053878996,-1.0813657,0,False
CCNL2,False,False,False,3363,0.2456058394160584,0.21962202956139168,80.36204379562044,4206.0,8.344505,3361,False,0.26377523122368035,1.1551224270797087,0.87205327,0,False
MRPL20-AS1,False,False,False,731,0.04548905109489051,0.04448476742128043,95.73138686131387,779.0,6.659294,731,False,0.04049177702540238,0.7768084434830754,0.24544117,0,False
MRPL20,False,False,False,6225,0.7446423357664234,0.5565495694693232,63.64963503649634,12752.0,9.453522,6225,False,0.4037390069643231,0.5099700249202199,-0.90605384,0,False
AL391244.2,False,False,False,73,0.004437956204379562,0.004428137515964839,99.57372262773723,76.0,4.3438053,73,True,0.004989574806747918,1.176431010851437,0.9057373,1,False
ANKRD65,False,False,False,23,0.0016934306569343065,0.0016919984199407654,99.86569343065693,29.0,3.4011974,23,False,0.000595039468844669,-0.5738229495538304,-1.9902427,0,False
LINC01770,False,False,False,6,0.0003503649635036496,0.0003503036000324793,99.96496350364964,6.0,1.9459102,6,False,9.526228594630691e-05,-1.208273348258417,-3.0416412,0,False
VWA1,False,False,False,26,0.0015766423357664234,0.001575400740102496,99.84817518248175,27.0,3.3322046,26,False,0.0006579939815628683,-0.1624047058467319,-1.3102045,0,False
ATAD3C,False,False,False,136,0.008642335766423358,0.008605204562858397,99.2058394160584,148.0,5.0039463,136,False,0.007867197001958717,0.5664150998456327,-0.10325835,0,False
ATAD3B,False,False,False,848,0.057635036496350364,0.05603531787248344,95.04817518248176,987.0,6.895683,848,False,0.056678803365411604,1.0460099995740395,0.6926744,1,False
ATAD3A,False,False,False,946,0.0788905109489051,0.07593320842006997,94.47591240875911,1351.0,7.20934,946,False,0.04294678926897509,0.7102764628159849,0.13620187,0,False
TMEM240,False,False,False,35,0.0020437956204379564,0.0020417099115272353,99.7956204379562,35.0,3.583519,35,False,0.0017042436062337468,0.4641999645870759,-0.27308732,0,False
SSU72,False,False,False,5877,0.5542773722627737,0.4410107252477325,65.68175182481752,9492.0,9.15831,5877,False,0.37667442385943917,0.6206620035614513,-0.68296075,0,False
AL645728.1,False,False,False,1033,0.06802919708029197,0.06581507825448533,93.96788321167884,1165.0,7.0613346,1033,False,0.07717732678442771,1.0769851149271237,0.7436102,0,False
FNDC10,False,False,False,296,0.019854014598540148,0.01965949411050631,98.27153284671533,340.0,5.8318825,296,False,0.012626277353568775,0.30831183142637203,-0.52788556,0,False
AL691432.4,False,False,False,60,0.0037956204379562043,0.0037884352464689006,99.64963503649635,65.0,4.189655,60,False,0.003183586577751081,0.39071659010421567,-0.39309177,0,False
AL691432.2,False,False,False,343,0.02148905109489051,0.021261416759839648,97.9970802919708,368.0,5.9107966,343,False,0.01904292046345302,0.6758364153182191,0.079461806,0,False
MIB2,False,False,False,2158,0.15275912408759124,0.1421583071352418,87.39854014598541,2616.0,7.869784,2158,False,0.15612448606183674,0.929450045050653,0.49911714,0,False
MMP23B,False,False,False,313,0.02037956204379562,0.02017467772761387,98.17226277372264,349.0,5.857933,313,True,0.03162030186868232,1.152267741156447,0.8670629,1,False
CDK11B,False,False,False,2648,0.1911824817518248,0.17494649589253833,84.53722627737226,3274.0,8.094073,2648,False,0.1665086995826982,0.9208713546863418,0.4846811,0,False
FO704657.1,False,False,False,79,0.004963503649635037,0.004951226075159064,99.53868613138687,85.0,4.454347,79,False,0.004947281695147108,0.7764551964322315,0.24647568,0,False
SLC35E2B,False,False,False,1314,0.0849051094890511,0.08149252647574458,92.32700729927006,1454.0,7.282761,1314,False,0.09960664883621619,1.08464744860395,0.7548648,0,False
CDK11A,False,False,False,3553,0.2586861313868613,0.23006842405080893,79.25255474452555,4430.0,8.39638,3553,False,0.2558808973567898,1.0041145685758694,0.62266034,0,False
SLC35E2A,False,False,False,942,0.05962043795620438,0.057910766599148185,94.4992700729927,1021.0,6.929517,942,False,0.07270281892361757,1.1080900410290786,0.7945212,0,False
NADK,False,False,False,2090,0.16502189781021898,0.15273988324463514,87.7956204379562,2826.0,7.9469714,2090,False,0.12579523828071215,0.6654800831861929,0.06212191,0,False
GNB1,False,False,False,5434,0.568992700729927,0.4504338215602953,68.26861313868613,9744.0,9.184509,5433,False,0.3704593317915046,0.7245578743855652,-0.48120496,0,False
AL109917.1,False,False,False,40,0.002394160583941606,0.0023912991477392214,99.76642335766424,41.0,3.7376697,40,False,0.0018254728253991317,0.13323469295683932,-0.81824744,0,False
CALML6,False,False,False,11,0.0006423357664233577,0.0006421295571039668,99.93576642335766,11.0,2.4849067,11,False,0.0008935603922310222,0.8333871078917124,0.34173027,1,False
TMEM52,False,False,False,47,0.002802919708029197,0.002798998853436016,99.72554744525547,48.0,3.8918204,47,True,0.004193910735902756,1.2836220563388154,1.0840424,1,False
CFAP74,False,False,False,20,0.0011678832116788322,0.0011672017665946828,99.88321167883211,20.0,3.0445225,20,False,0.0013370860598820472,0.8545960905967658,0.3752365,0,False
GABRD,False,False,False,30,0.0017518248175182481,0.0017502921621240512,99.82481751824818,30.0,3.4339871,30,False,0.0016475998127443287,0.2631242276024654,-0.60330665,0,False
PRKCZ,False,False,False,438,0.026802919708029196,0.02645001351297656,97.44233576642335,459.0,6.1312265,438,False,0.03278919004317704,0.9942392548250845,0.60633844,0,False
AL590822.2,False,False,False,116,0.0069489051094890515,0.006924872736599198,99.32262773722627,119.0,4.787492,116,False,0.00862423184085628,0.7461390954146451,0.19419612,0,False
PRKCZ-AS1,False,False,False,35,0.0020437956204379564,0.0020417099115272353,99.7956204379562,35.0,3.583519,35,False,0.0020199847186316644,0.29326024120727856,-0.55442494,0,False
FAAP20,False,False,False,3887,0.31953284671532844,0.2772777699559394,77.3021897810219,5472.0,8.607582,3886,False,0.2373297509739551,0.5530546766085067,-0.12431637,0,False
SKI,False,False,False,1742,0.11766423357664234,0.11124100187651922,89.82773722627738,2015.0,7.6088705,1742,False,0.12087855590535698,0.9140323925312794,0.4733085,0,False
AL590822.3,False,False,False,57,0.003970802919708029,0.0039629400894211145,99.66715328467153,68.0,4.2341065,57,False,0.0024226083702161673,0.06827678332468057,-0.92412394,0,False
MORN1,False,False,False,224,0.013897810218978103,0.01380212121371178,98.6919708029197,238.0,5.476464,224,False,0.013572333837398597,0.9477162148222111,0.5284619,0,False
AL589739.1,False,False,False,3,0.00023357664233576643,0.00023354936755892855,99.98248175182482,4.0,1.609438,3,False,0.0005215171305310028,0.7215243539371189,0.15915357,1,False
AL513477.2,False,False,False,48,0.00291970802919708,0.00291545396012405,99.71970802919708,50.0,3.9318256,48,True,0.004237485009067956,1.6160351463414278,1.6356844,2,True
RER1,False,False,False,4818,0.4843795620437956,0.394996881613019,71.86569343065695,8295.0,9.023529,4818,False,0.28994030486972266,0.5826699503873273,-0.07578407,0,False
PEX10,False,False,False,593,0.03877372262773723,0.03804090459484374,96.53722627737227,664.0,6.499787,593,False,0.024543790039667238,0.4405283348394198,-0.31056455,0,False
PLCH2,False,False,False,267,0.0167007299270073,0.016562806236172428,98.44087591240876,286.0,5.659482,267,True,0.03274665428311076,1.317930994932817,1.1424118,1,False
PANK4,False,False,False,630,0.0392992700729927,0.0385467072863815,96.32116788321167,673.0,6.5132303,630,False,0.03600405500759269,0.7874060994240843,0.26341584,0,False
HES5,False,False,False,105,0.007416058394160584,0.007388694637307715,99.38686131386861,127.0,4.8520303,105,False,0.0013286253983304241,-1.1511014626065514,-2.9444132,0,False
AL139246.5,False,False,False,1209,0.08327007299270073,0.07998431180794711,92.94014598540146,1426.0,7.2633295,1209,False,0.09049314806012593,0.930344589391886,0.49997255,0,False
TNFRSF14-AS1,False,False,False,384,0.023766423357664233,0.023488398408273752,97.75766423357665,407.0,6.011267,384,False,0.029816793383073456,0.9022811721483506,0.4544161,0,False
TNFRSF14,False,False,False,4631,0.3731970802919708,0.3171416563917195,72.95766423357664,6391.0,8.762802,4630,False,0.33643602400454387,0.8526978838492875,0.048887897,0,False
AL139246.3,False,False,False,143,0.008817518248175182,0.008778870950165697,99.16496350364964,151.0,5.0238805,143,False,0.008978944800782864,0.59667356701512,-0.05236058,0,False
PRXL2B,False,False,False,636,0.043795620437956206,0.04286370443178237,96.28613138686131,750.0,6.6214056,636,False,0.03176062838119595,0.6898511433872323,0.10368049,0,False
MMEL1,False,False,False,115,0.0072992700729927005,0.007272759329079776,99.32846715328468,125.0,4.836282,115,False,0.005821282790243554,0.1518488707087141,-0.78961,0,False
TTC34,False,False,False,140,0.008583941605839416,0.008547309064217242,99.18248175182481,147.0,4.9972124,140,False,0.011827662808193494,1.0560555769519948,0.7091163,0,False
PRDM16-DT,False,False,False,6,0.0003503649635036496,0.0003503036000324793,99.96496350364964,6.0,1.9459102,6,False,9.900398644297373e-05,-1.2753896316904207,-3.1527658,0,False
PRDM16,False,False,False,25,0.001635036496350365,0.0016337012793989976,99.85401459854015,28.0,3.3672957,25,False,0.001344747448049604,0.29229413832641893,-0.5530122,0,False
MEGF6,False,False,False,471,0.030306569343065692,0.02985639809440431,97.24963503649636,519.0,6.253829,471,False,0.036612071825873914,1.0126183107572493,0.63643956,0,False
AL513320.1,False,False,False,19,0.0011094890510948904,0.001108874022986907,99.88905109489052,19.0,2.9957323,19,False,0.0017116287567862944,1.020505895596688,0.6530769,1,False
TPRG1L,False,False,False,1535,0.10125547445255474,0.0964508693819391,91.03649635036496,1734.0,7.4587626,1535,False,0.07068485767585062,0.5399079028807752,-0.14634483,0,False
WRAP73,False,False,False,1373,0.08910948905109489,0.08536037980702119,91.98248175182482,1526.0,7.3310604,1373,False,0.08645973315498201,1.0411220923775688,0.6838292,0,False
TP73,False,False,False,32,0.0021021897810218977,0.0020999832718770492,99.81313868613138,36.0,3.6109178,32,False,0.001260653715716025,0.16133737451294436,-0.7705525,0,False
AL136528.1,False,False,False,3,0.0001751824817518248,0.0001751671390926857,99.98248175182482,3.0,1.3862944,3,False,8.622909362627322e-05,-0.24790747610640754,-0.88995314,0,False
CCDC27,False,False,False,4,0.00023357664233576643,0.00023354936755892855,99.97664233576641,4.0,1.609438,4,False,0.00020326714926257252,0.14841569373367552,-0.790977,0,False
SMIM1,False,False,False,1745,0.5752408759124088,0.454408197671156,89.81021897810218,9851.0,9.19543,1742,False,0.13709514870582015,0.74991329369387,0.20164172,0,False
LRRC47,False,False,False,1467,0.10388321167883212,0.09883415573631772,91.43357664233577,1779.0,7.484369,1467,False,0.08193074846560622,0.7704341382311621,0.2363076,0,False
AL365330.1,False,False,False,10,0.0005839416058394161,0.0005837711782831674,99.94160583941606,10.0,2.3978953,10,False,0.000520177520716672,-0.21139898545876606,-1.3851641,0,False
CEP104,False,False,False,1345,0.09097810218978102,0.0870746353294114,92.14598540145985,1558.0,7.3518,1345,False,0.0916053953151159,1.0333941247657317,0.67122215,0,False
DFFB,False,False,False,604,0.03848175182481752,0.03775979251360647,96.47299270072993,659.0,6.49224,604,False,0.04271513299618164,1.0098902242617844,0.6326916,0,False
C1orf174,False,False,False,1462,0.10972262773722628,0.1041100991763859,91.46277372262773,1879.0,7.539027,1462,False,0.0758168243664525,0.7277612856781066,0.16493978,0,False
LINC01134,False,False,False,25,0.0015766423357664234,0.001575400740102496,99.85401459854015,27.0,3.3322046,25,False,0.0012954875546260273,0.7307911360104842,0.16809434,0,False
AL805961.1,False,False,False,14,0.0008175182481751825,0.0008171842621461863,99.91824817518248,14.0,2.7080503,14,False,0.0011812084099788664,0.6807821126174911,0.08742185,0,False
AJAP1,False,False,False,13,0.0008759124087591241,0.0008755290213447437,99.92408759124088,15.0,2.7725887,13,False,0.0006291003397532466,-0.10440007839704513,-1.2140611,0,False
Z98886.1,False,False,False,13,0.0007591240875912409,0.0007588360986380783,99.92408759124088,13.0,2.6390574,13,False,0.0008577078130500607,0.35207791250829856,-0.45598412,0,False
AL365255.1,False,False,False,11,0.0006423357664233577,0.0006421295571039668,99.93576642335766,11.0,2.4849067,11,False,0.0005686149289399721,-0.01989009365014932,-0.5136473,0,False
NPHP4,False,False,False,212,0.013138686131386862,0.013053122244579211,98.76204379562043,225.0,5.420535,212,False,0.011839179402989371,0.7532552310511487,0.20681137,0,False
KCNAB2,False,False,False,3218,0.25921167883211677,0.2304858734411333,81.20875912408759,4439.0,8.39841,3218,False,0.2554694949021392,1.0907759297836352,0.76598376,0,False
CHD5,False,False,False,10,0.0005839416058394161,0.0005837711782831674,99.94160583941606,10.0,2.3978953,10,False,0.0011379034955435363,0.7957708983838994,0.28157628,1,False
RPL22,False,True,False,12836,11.573080291970802,2.531558043653709,25.045255474452553,198189.0,12.196981,12823,False,2.2322117373733685,1.9249511711752643,-0.30427983,0,False
RNF207,False,False,False,58,0.004145985401459854,0.004137414485746121,99.66131386861315,71.0,4.276666,58,False,0.004693904970276394,0.9256207432823208,0.4935508,0,False
ICMT,False,False,False,1147,0.08875912408759123,0.08503862948249513,93.3021897810219,1520.0,7.327123,1146,False,0.05120104297277593,0.6711958135554158,0.07218,0,False
LINC00337,False,False,False,9,0.0005255474452554744,0.0005254093935632255,99.94744525547445,9.0,2.3025851,9,False,0.0006401293764335876,0.7060026691581499,0.12955385,0,False
GPR153,False,False,False,39,0.002394160583941606,0.0023912991477392214,99.77226277372263,41.0,3.7376697,39,False,0.003967828453720638,0.932415077866651,0.50378275,0,False
ACOT7,False,False,False,661,0.05272992700729927,0.05138672068011285,96.14014598540146,903.0,6.8068295,661,False,0.024142397383133972,0.6207477341486327,-0.012317415,0,False
AL031848.2,False,False,False,202,0.012145985401459855,0.012072814810884295,98.82043795620437,208.0,5.3423343,202,False,0.01257066678262752,0.7789626738060145,0.24951959,0,False
HES2,False,False,False,24,0.00145985401459854,0.0014587894636599347,99.85985401459854,25.0,3.2580965,24,False,0.0018655447271312456,1.008866623113363,0.6298489,0,False
ESPN,False,False,False,367,0.025576642335766422,0.025255032291309553,97.85693430656934,438.0,6.0844994,367,False,0.013097217573716374,0.42708013346459894,-0.32940602,0,False
TNFRSF25,False,False,False,1958,0.14604379562043796,0.13631583363601288,88.56642335766423,2501.0,7.824846,1957,False,0.178173810233353,1.1180053234342857,0.811149,0,False
PLEKHG5,False,False,False,53,0.00327007299270073,0.003264737931540958,99.69051094890511,56.0,4.0430512,53,False,0.003684906031056686,0.49481871401618954,-0.22124398,0,False
NOL9,False,False,False,1574,0.10931386861313869,0.1037416878146231,90.80875912408759,1872.0,7.535297,1574,False,0.10670405435819363,0.987394578239168,0.5946743,0,False
TAS1R1,False,False,False,3,0.0001751824817518248,0.0001751671390926857,99.98248175182482,3.0,1.3862944,3,False,7.929132675319215e-05,-0.6523109474080061,-2.1221473,0,False
ZBTB48,False,False,False,961,0.060613138686131385,0.0588471736190174,94.38832116788322,1038.0,6.946014,961,False,0.06100853219068343,0.9332415885193084,0.50533175,0,False
KLHL21,False,False,False,809,0.052963503649635035,0.0516085731491315,95.27591240875913,907.0,6.8112445,809,False,0.04885137516707455,0.7873164132336938,0.2636433,0,False
PHF13,False,False,False,430,0.028788321167883213,0.028381722539314952,97.48905109489051,493.0,6.2025356,429,False,0.02021440430640349,0.7188637152130508,0.15040243,0,False
THAP3,False,False,False,1041,0.06627737226277372,0.06417349101853342,93.92116788321168,1135.0,7.035269,1041,False,0.053048450578466196,0.5687678473515149,-0.09754515,0,False
DNAJC11,False,False,False,1109,0.07807299270072993,0.07517518141967079,93.52408759124089,1337.0,7.198931,1109,False,0.06045177663729365,0.8590829142441385,0.38219458,0,False
LINC01672,False,False,False,9,0.0005255474452554744,0.0005254093935632255,99.94744525547445,9.0,2.3025851,9,False,0.0007105668284725268,0.6148924215105817,-0.021656321,0,False
AL591163.1,False,False,False,20,0.0011678832116788322,0.0011672017665946828,99.88321167883211,20.0,3.0445225,20,False,0.0013998005735723572,0.6582983876182312,0.047967356,0,False
CAMTA1-DT,False,False,False,32,0.0019854014598540146,0.0019834331551949985,99.81313868613138,34.0,3.5553482,32,False,0.0019071685563374413,0.8346799877459677,0.34525207,1,False
CAMTA1,False,False,False,3203,0.28741605839416057,0.25263715406655485,81.2963503649635,4922.0,8.501674,3203,False,0.16830907358338595,0.5097975621504794,-0.1960736,0,False
CAMTA1-IT1,False,False,False,5,0.00029197080291970805,0.00029192818773955307,99.97080291970802,5.0,1.7917595,5,False,0.00012157511529400805,-0.30348182287484415,-1.541667,0,False
VAMP3,False,False,False,1730,0.1287007299270073,0.12106717467632608,89.89781021897811,2204.0,7.698483,1730,False,0.08722000394563842,0.49459604572238136,-0.2211459,0,False
Z98884.2,False,False,False,9,0.0005255474452554744,0.0005254093935632255,99.94744525547445,9.0,2.3025851,9,False,0.0004717171403618768,0.35859992932282386,-0.4410474,1,False
PER3,False,False,False,299,0.01956204379562044,0.01937316626316716,98.25401459854015,335.0,5.817111,299,True,0.02599216599970902,1.1306176281821183,0.8309325,1,False
Z98884.1,False,False,False,22,0.001343065693430657,0.0013421645874416776,99.87153284671533,23.0,3.1780539,22,False,0.0020874837792264835,1.0219809736696734,0.65241563,0,False
UTS2,False,False,False,75,0.004905109489051095,0.004893118634484938,99.56204379562044,84.0,4.4426513,75,False,0.005308894562987604,0.4055676025043992,-0.368982,0,False
TNFRSF9,False,False,False,199,0.013839416058394161,0.013744525821327248,98.83795620437957,237.0,5.4722705,199,True,0.021930829419939672,1.202962193747537,0.95109797,1,False
PARK7,False,False,False,8001,1.2507445255474452,0.8112610617242265,53.27883211678832,21419.0,9.97208,8001,False,0.5728077608218447,0.5489932713009491,-0.832104,0,False
AL034417.4,False,False,False,41,0.0024525547445255476,0.002449552140503197,99.76058394160584,42.0,3.7612002,41,True,0.0035928171752186416,1.2893797689871467,1.092058,1,False
AL034417.3,False,False,False,22,0.0012846715328467154,0.0012838470484252955,99.87153284671533,22.0,3.1354942,22,False,0.0019038075827260922,1.061012891599992,0.7162382,0,False
ERRFI1,False,False,False,117,0.007240875912408759,0.007214786634202819,99.31678832116788,124.0,4.828314,117,False,0.009118131987567448,0.7259946341109792,0.16169414,0,False
SLC45A1,False,False,False,23,0.0014014598540145985,0.0014004787257210242,99.86569343065693,24.0,3.218876,23,False,0.0017136815983402316,0.8106458868380745,0.30462268,1,False
RERE,False,False,False,3424,0.265985401459854,0.23585079242315646,80.0058394160584,4555.0,8.4242,3423,False,0.2652259644216488,1.0756373423913574,0.7404741,0,False
RERE-AS1,False,False,False,53,0.00327007299270073,0.003264737931540958,99.69051094890511,56.0,4.0430512,53,False,0.004186385285624005,0.7979332393106743,0.2810407,0,False
AL357552.2,False,False,False,7,0.00040875912408759124,0.00040867560483555794,99.95912408759125,7.0,2.0794415,7,False,0.0003754057055151079,0.1880304144285836,-0.7281454,0,False
ENO1,False,False,False,7551,1.4372554744525547,0.8908726006843498,55.90656934306569,24613.0,10.111071,7548,False,0.655148433452174,0.9047571556445094,-0.33072653,0,False
ENO1-AS1,False,False,False,118,0.007474452554744526,0.00744665725143784,99.31094890510948,128.0,4.8598123,118,False,0.007160038606271756,0.6244761857136618,-0.0061132903,0,False
CA6,False,False,False,112,0.0070072992700729924,0.006982862240515242,99.34598540145986,120.0,4.7957907,112,False,0.007924508011888367,0.9179160796726412,0.4788906,0,False
SLC2A5,False,False,False,177,0.01272992700729927,0.012649582620159736,98.96642335766424,218.0,5.389072,177,False,0.008537348161976138,0.4017008787157438,-0.37435973,0,False
GPR157,False,False,False,196,0.012087591240875913,0.012015119729373988,98.85547445255474,207.0,5.3375382,196,False,0.010837613845588505,0.4803102302364141,-0.2435792,0,False
MIR34AHG,False,False,False,8,0.00046715328467153287,0.00046704420254656964,99.95328467153286,8.0,2.1972246,8,False,0.0008371537725566285,0.9347467712586398,0.50868815,0,False
LNCTAM34A,False,False,False,9,0.0005839416058394161,0.0005837711782831674,99.94744525547445,10.0,2.3978953,9,False,0.0004895408728315417,0.21308380763612625,-0.68722683,0,False
H6PD,False,False,False,1053,0.06978102189781021,0.06745397509769521,93.85109489051095,1195.0,7.086738,1053,False,0.08131266451308226,1.0019181313675407,0.61882627,0,False
SPSB1,False,False,False,152,0.009751824817518248,0.00970458265709636,99.11240875912408,167.0,5.123964,152,False,0.011593820411142357,0.9827542908569642,0.58697337,0,False
